result,dif_goal,dif_possession,dif_shot_on_goal,dif_shot,dif_corner
0,0.22222222222222232,0.09444444444444439,2.5555555555555554,7.777777777777778,2.2222222222222223
0,1.4444444444444446,0.12888888888888894,3.3333333333333335,9.444444444444443,1.7777777777777777
3,1.1111111111111112,0.19777777777777772,4.0,9.333333333333336,5.1111111111111125
3,1.1777777777777776,0.14799999999999996,3.022222222222222,7.666666666666668,4.28888888888889
1,0.5,-0.007500000000000062,-1.125,-0.5,-0.75
0,-0.125,0.05124999999999996,1.125,4.0,0.625
0,-0.875,0.013749999999999984,-0.875,0.0,1.125
3,0.9000000000000001,0.008000000000000007,3.0999999999999996,9.200000000000001,4.7
3,1.9,-0.11900000000000005,4.9,4.399999999999999,3.0999999999999996
1,0.10000000000000009,0.17199999999999993,2.1999999999999997,5.9,1.6999999999999993
0,-1.0999999999999999,0.03300000000000003,-1.0999999999999996,2.299999999999999,0.5
1,0.6,0.10899999999999999,1.4000000000000004,6.0,2.5
3,2.1,0.040000000000000036,5.0,13.8,5.3
0,-0.7000000000000002,-0.013999999999999957,-1.5,-2.1000000000000014,0.5
3,0.4,-0.04499999999999993,-0.5,-1.1999999999999993,-3.8
3,1.9,-0.3,0.40000000000000036,-7.199999999999999,-3.5
1,0.0,-0.013000000000000012,0.20000000000000018,0.5,-0.20000000000000018
0,-0.19999999999999996,-0.07999999999999996,-0.2999999999999998,1.4000000000000004,-0.5
3,-0.09999999999999998,-0.04400000000000004,-1.9,-2.1999999999999993,5.0
3,0.6,-0.134,0.10000000000000009,-1.4000000000000004,-0.6999999999999993
1,0.7000000000000001,0.11199999999999999,2.1000000000000005,8.6,5.199999999999999
3,0.19999999999999996,0.05599999999999994,1.6,1.5999999999999996,0.0
3,0.7999999999999998,-0.040000000000000036,0.10000000000000053,1.0999999999999979,0.7999999999999998
1,0.7,-0.20400000000000007,-0.5999999999999996,-6.699999999999999,-2.5999999999999996
3,0.3999999999999999,0.05300000000000005,3.0,10.5,5.2
3,2.2,0.09400000000000008,4.2,9.600000000000001,4.2
0,1.0,-0.01200000000000001,2.0000000000000004,5.1,1.0
0,0.6,-0.07699999999999996,0.8999999999999999,4.300000000000001,1.9
3,0.20000000000000018,0.14600000000000002,3.4,10.6,3.2
1,0.5111111111111111,-0.08788888888888885,-0.5222222222222221,-1.9222222222222207,-1.322222222222222
3,1.4,0.15900000000000014,4.8,13.200000000000001,5.0
3,1.5999999999999999,0.11299999999999999,3.2,7.399999999999999,3.4000000000000004
3,-0.09999999999999987,0.008999999999999897,1.7999999999999998,8.2,3.2
0,0.5,-0.07200000000000001,1.0,3.9000000000000004,0.7999999999999998
0,-0.09999999999999998,-0.02999999999999997,1.8000000000000003,5.4,2.0999999999999996
0,0.2999999999999998,0.14200000000000002,2.2,8.000000000000002,5.2
0,-1.6,-0.16499999999999998,-3.3,-12.7,-4.3
0,-0.7,0.016000000000000014,-0.2999999999999998,1.0999999999999996,0.20000000000000018
1,0.7,0.14999999999999997,2.8999999999999995,6.1,2.3
3,0.3999999999999999,0.039000000000000035,1.9000000000000004,4.300000000000001,3.4000000000000004
3,1.0,0.128,3.8000000000000003,10.6,2.9000000000000004
0,-1.5999999999999999,-0.06800000000000006,-2.4000000000000004,-1.0999999999999996,-0.7000000000000002
0,0.4,0.0040000000000000036,2.8000000000000007,8.1,2.6999999999999993
3,0.5,-0.020999999999999908,0.40000000000000036,2.6999999999999993,2.2
0,0.30000000000000004,0.09966666666666679,1.2999999999999998,8.433333333333335,4.933333333333334
3,1.3,0.09900000000000009,5.300000000000001,14.6,4.2
0,-0.40000000000000013,0.062,0.6000000000000001,1.9000000000000004,2.9
3,0.6,-0.008000000000000063,0.7666666666666666,1.3000000000000007,0.033333333333333215
0,0.9,-0.1469999999999999,0.8000000000000003,1.5,-1.4000000000000004
3,0.6000000000000001,0.04799999999999993,1.4,4.4,0.10000000000000053
0,0.09999999999999998,0.045999999999999985,0.10000000000000009,3.1999999999999993,0.7999999999999998
3,1.0666666666666667,0.15299999999999997,3.9333333333333327,7.133333333333335,5.6
0,0.7000000000000001,0.08100000000000007,0.5,3.5,1.6000000000000005
3,0.7,-0.11299999999999999,-1.6999999999999997,-3.1000000000000014,-0.7000000000000002
0,-0.9000000000000001,-0.12799999999999995,-2.2,-0.6999999999999993,-0.40000000000000036
3,0.9,0.11500000000000005,2.6999999999999997,7.400000000000002,5.7
0,0.0,-0.051666666666666694,2.0333333333333337,-1.4666666666666668,0.5999999999999996
1,0.30000000000000004,0.04300000000000015,1.1000000000000005,3.5999999999999996,1.5999999999999996
0,-0.6000000000000001,-0.24266666666666664,-4.566666666666666,-12.566666666666666,-4.9
0,-0.10000000000000009,-0.09100000000000003,-0.2333333333333334,-0.3333333333333339,1.0
0,0.7000000000000001,0.061999999999999944,0.3999999999999999,2.1999999999999993,2.8000000000000003
3,1.5000000000000002,0.067,2.5999999999999996,7.1,3.0
1,0.5,-0.125,2.0,1.5,1.0
1,0.3999999999999999,0.017000000000000015,0.2999999999999998,3.6999999999999993,0.7000000000000002
1,0.0,-0.14300000000000013,-2.4,-3.700000000000001,-1.6000000000000005
3,1.2,0.07500000000000001,2.5,5.1,5.6
1,-1.0999999999999999,0.07200000000000006,-1.0999999999999996,-0.7999999999999989,-0.9000000000000004
3,1.5,0.0040000000000000036,2.5,3.9000000000000004,1.7999999999999998
0,0.7000000000000001,0.1379999999999999,2.5999999999999996,6.0,2.5
3,0.19999999999999996,0.04600000000000004,1.2999999999999998,3.8000000000000007,2.6000000000000005
3,1.1,0.137,5.15,9.75,6.4
1,0.0,-0.07,-0.5999999999999996,1.799999999999999,0.5
0,0.19999999999999996,-0.051999999999999935,-1.0000000000000004,-2.299999999999999,-0.1999999999999993
1,-0.75,0.01649999999999996,-0.5,-0.5,2.1
0,-1.1,-0.12999999999999995,-2.1,0.5,0.5
3,0.40000000000000013,0.009000000000000008,0.5999999999999996,1.0,1.0
0,0.0,-0.03899999999999998,-2.3499999999999996,-5.449999999999999,0.3999999999999999
1,-1.2,0.0020000000000000018,-2.8000000000000003,0.3999999999999986,0.40000000000000036
0,-0.19999999999999996,-0.0005000000000000004,1.35,4.4,1.9
0,0.5,-0.19600000000000012,-1.8999999999999995,-2.700000000000001,-1.8000000000000007
0,-0.09999999999999987,-0.10699999999999998,-3.0,-4.900000000000002,-1.1000000000000005
3,0.09999999999999998,0.16999999999999998,2.3000000000000003,5.4,1.0
1,0.7,-0.009000000000000119,0.40000000000000036,2.3000000000000007,0.6000000000000005
1,-0.19999999999999996,-0.0019999999999999463,-2.4,-0.40000000000000036,0.09999999999999964
3,0.7,0.14850000000000008,3.9000000000000004,9.149999999999999,3.75
3,1.1,0.07699999999999996,3.95,6.550000000000001,0.5999999999999996
3,1.7,0.09300000000000003,3.9999999999999996,9.600000000000001,3.8
1,0.4,0.17899999999999994,1.4999999999999996,3.0,1.2999999999999998
3,-0.20000000000000007,-0.009999999999999953,-1.2000000000000002,0.8000000000000007,2.8999999999999995
3,0.3999999999999999,0.18599999999999994,3.0,8.2,2.9000000000000004
3,0.3999999999999999,0.1439999999999999,3.6,9.2,3.9999999999999996
1,0.5,-0.0050000000000001155,1.4000000000000004,1.3000000000000007,0.7999999999999998
1,0.20000000000000018,0.010999999999999899,0.6000000000000001,3.1999999999999993,1.7999999999999998
3,0.7,0.09200000000000003,1.7999999999999998,4.9,2.3
1,-0.09999999999999998,-0.09799999999999992,-2.0,-0.9000000000000004,-0.5999999999999996
0,0.40000000000000013,-0.07800000000000007,0.0,0.5999999999999996,0.5
3,0.4999999999999999,0.07300000000000001,0.8999999999999999,3.0,1.8000000000000007
0,-1.0,-0.118,-1.4000000000000004,-0.8999999999999986,0.0
3,0.0,0.08800000000000002,0.7999999999999998,4.9,0.5999999999999996
3,0.9000000000000001,-0.04500000000000004,0.2999999999999998,3.5,-0.5
3,-0.10000000000000009,-0.13399999999999995,-2.0000000000000004,-5.2,-0.6999999999999997
1,0.0,-0.017000000000000015,-0.7999999999999998,-0.3999999999999986,1.2000000000000002
3,0.5,-0.017000000000000015,0.5999999999999996,0.3000000000000007,-0.40000000000000036
3,2.3,0.15599999999999992,3.8999999999999995,8.899999999999999,3.9000000000000004
3,1.2999999999999998,0.03699999999999992,2.0,3.799999999999999,4.3
0,-1.0,-0.10600000000000004,-0.7999999999999998,-1.0,0.5
3,-0.30000000000000004,0.01100000000000012,-0.9000000000000004,2.0,1.2000000000000002
1,0.09999999999999987,0.1269999999999999,1.4000000000000004,3.5999999999999996,2.3
3,-0.4,-0.19199999999999995,-2.6,-4.6,-2.8
1,-0.43333333333333346,-0.15966666666666668,-0.3999999999999999,-1.666666666666666,-1.0333333333333332
3,0.8333333333333334,-0.03333333333333338,1.1666666666666665,2.166666666666666,0.7666666666666666
3,-0.20000000000000018,-0.04599999999999993,-0.20000000000000018,1.3000000000000007,1.8000000000000007
3,1.0,0.055999999999999994,1.7999999999999998,3.8000000000000007,2.2
1,1.2000000000000002,0.11699999999999994,1.0999999999999996,6.299999999999999,1.2000000000000002
0,0.09999999999999987,0.14700000000000013,2.2,6.800000000000001,5.0
3,0.6666666666666666,0.19700000000000006,2.433333333333333,5.933333333333334,3.0
3,0.7000000000000001,0.1509999999999999,5.4,13.4,5.1
3,2.0,-0.006000000000000005,0.7999999999999998,0.40000000000000213,0.7999999999999998
0,-0.19999999999999996,-0.08500000000000002,-1.9,-2.0,-0.7000000000000002
1,-1.0333333333333334,-0.14000000000000007,-2.3333333333333335,-4.866666666666665,-1.6666666666666665
1,0.30000000000000004,0.07399999999999995,0.39999999999999947,2.700000000000001,3.4000000000000004
3,0.10000000000000009,0.08699999999999997,0.10000000000000053,3.5,0.2999999999999998
3,0.4999999999999999,0.017999999999999905,2.9999999999999996,8.6,2.3000000000000003
3,0.10000000000000009,0.06099999999999994,0.7999999999999998,2.5,0.09999999999999964
3,1.8,-0.05399999999999988,2.0999999999999996,3.4000000000000004,0.6999999999999993
3,0.30000000000000004,0.08100000000000007,1.2999999999999998,8.0,2.8000000000000003
3,0.7,0.09799999999999998,3.0,7.000000000000002,2.5999999999999996
