result,mean_10_home_goal,mean_10_home_possesion_pct,mean_10_home_shot_on_goal,mean_10_home_shot,mean_10_home_corner,mean_10_away_goal,mean_10_away_possesion_pct,mean_10_away_shot_on_goal,mean_10_away_shot,mean_10_away_corner
3,2.6,0.528,6.2,17.4,6.4,0.6666666666666666,0.4366666666666667,2.6666666666666665,10.166666666666666,4.166666666666667
1,0.8333333333333334,0.435,3.0,10.666666666666666,3.5,0.5,0.5666666666666667,3.5,10.5,2.8333333333333335
0,1.0,0.45999999999999996,4.166666666666667,13.0,5.666666666666667,1.8,0.528,6.0,12.8,5.6
0,1.3333333333333333,0.5,3.6666666666666665,14.333333333333334,5.166666666666667,2.0,0.5466666666666667,4.333333333333333,13.333333333333334,5.833333333333333
1,1.8333333333333333,0.44333333333333336,5.666666666666667,15.833333333333334,6.833333333333333,1.8571428571428572,0.5557142857142857,5.714285714285714,13.142857142857142,5.714285714285714
1,2.5714285714285716,0.5914285714285714,8.0,22.857142857142858,8.857142857142858,2.0,0.53,4.428571428571429,13.0,5.714285714285714
3,2.3333333333333335,0.5233333333333333,5.5,16.5,6.166666666666667,1.3333333333333333,0.5816666666666667,6.166666666666667,14.666666666666666,6.333333333333333
3,2.142857142857143,0.5071428571428571,5.142857142857143,14.142857142857142,5.714285714285714,1.8571428571428572,0.4328571428571429,4.428571428571429,11.428571428571429,3.0
1,1.2857142857142858,0.49142857142857144,4.714285714285714,16.428571428571427,7.0,0.7142857142857143,0.43571428571428567,3.142857142857143,10.142857142857142,3.857142857142857
3,1.8571428571428572,0.54,6.285714285714286,19.142857142857142,7.428571428571429,1.0,0.5814285714285715,5.285714285714286,14.857142857142858,6.142857142857143
3,1.8571428571428572,0.43285714285714283,6.0,16.428571428571427,6.285714285714286,1.1428571428571428,0.5885714285714286,6.428571428571429,15.285714285714286,6.285714285714286
1,1.5714285714285714,0.6071428571428571,4.285714285714286,15.0,5.285714285714286,1.25,0.53375,3.5,13.25,4.625
3,1.0,0.44571428571428573,4.142857142857143,12.285714285714286,5.285714285714286,0.8333333333333334,0.5116666666666667,3.6666666666666665,11.333333333333334,6.5
