home,score,away
Russia,2–0,Tunisia
Japan,1–0,Russia
Tunisia,1–1,Belgium
Tunisia,0–2,Japan
Belgium,3–2,Russia
Germany,1–0,Paraguay
Denmark,0–3,England
Denmark,1–3,Japan
Cameroon,1–2,Netherlands
Italy,1–1,Paraguay
New Zealand,1–1,Slovakia
Slovakia,0–2,Paraguay
Italy,1–1,New Zealand
Slovakia,3–2,Italy
Paraguay,0–0,New Zealand
Ivory Coast,0–0,Portugal
Brazil,2–1,North Korea
Brazil,3–1,Ivory Coast
Portugal,7–0,North Korea
Portugal,0–0,Brazil
North Korea,0–3,Ivory Coast
Honduras,0–1,Chile
France,3–0,Honduras
Switzerland,2–5,France
Honduras,1–2,Ecuador
Honduras,0–3,Switzerland
Ecuador,0–0,France
Argentina,2–1,Bosnia and Herzegovina
Iran,0–0,Nigeria
Argentina,1–0,Iran
Nigeria,1–0,Bosnia and Herzegovina
Nigeria,2–3,Argentina
Bosnia and Herzegovina,3–1,Iran
Germany,4–0,Portugal
Ghana,1–2,United States
Brazil,1–1,Switzerland
Brazil,2–0,Costa Rica
Serbia,1–2,Switzerland
Serbia,0–2,Brazil
Switzerland,2–2,Costa Rica
Germany,0–1,Mexico
Sweden,1–0,South Korea
South Korea,1–2,Mexico
Germany,2–1,Sweden
South Korea,2–0,Germany
Mexico,0–3,Sweden
Belgium,3–0,Panama
Sweden,1–2 (a.e.t.),Senegal
Spain,1–1 (a.e.t.),Republic of Ireland
Mexico,0–2,United States
Brazil,2–0,Belgium
Japan,0–1,Turkey
South Korea,2–1 (a.e.t.),Italy
England,1–2,Brazil
Germany,1–0,United States
Spain,0–0 (a.e.t.),South Korea
Senegal,0–1 (a.e.t.),Turkey
Germany,1–0,South Korea
Brazil,1–0,Turkey
Spain,0–1,Switzerland
Chile,1–0,Switzerland
Spain,2–0,Honduras
Chile,1–2,Spain
Switzerland,0–0,Honduras
Uruguay,2–1,South Korea
United States,1–2 (a.e.t.),Ghana
Germany,4–1,England
Argentina,3–1,Mexico
Netherlands,2–1,Slovakia
Brazil,3–0,Chile
Paraguay,0–0 (a.e.t.),Japan
Spain,1–0,Portugal
Netherlands,2–1,Brazil
Uruguay,1–1 (a.e.t.),Ghana
Germany,2–2,Ghana
United States,2–2,Portugal
United States,0–1,Germany
Portugal,2–1,Ghana
Belgium,2–1,Algeria
Russia,1–1,South Korea
Belgium,1–0,Russia
South Korea,2–4,Algeria
South Korea,0–1,Belgium
Algeria,1–1,Russia
Brazil,1–1 (a.e.t.),Chile
Colombia,2–0,Uruguay
Netherlands,2–1,Mexico
Costa Rica,1–1 (a.e.t.),Greece
France,2–0,Nigeria
Tunisia,1–2,England
Belgium,5–2,Tunisia
England,6–1,Panama
England,0–1,Belgium
Panama,1–2,Tunisia
Colombia,1–2,Japan
Poland,1–2,Senegal
Japan,2–2,Senegal
Poland,0–3,Colombia
Japan,0–1,Poland
Senegal,0–1,Colombia
France,4–3,Argentina
Uruguay,2–1,Portugal
South Korea,2–3,Turkey
Germany,0–2,Brazil
Argentina,0–4,Germany
Paraguay,0–1,Spain
Uruguay,2–3,Netherlands
Germany,0–1,Spain
Uruguay,2–3,Germany
Netherlands,0–1 (a.e.t.),Spain
Germany,2–1 (a.e.t.),Algeria
Argentina,1–0 (a.e.t.),Switzerland
Belgium,2–1 (a.e.t.),United States
France,0–1,Germany
Brazil,2–1,Colombia
Argentina,1–0,Belgium
Netherlands,0–0 (a.e.t.),Costa Rica
Brazil,1–7,Germany
Netherlands,0–0 (a.e.t.),Argentina
Brazil,0–3,Netherlands
Germany,1–0 (a.e.t.),Argentina
Spain,1–1 (a.e.t.),Russia
Croatia,1–1 (a.e.t.),Denmark
Brazil,2–0,Mexico
Belgium,3–2,Japan
Sweden,1–0,Switzerland
Colombia,1–1 (a.e.t.),England
Uruguay,0–2,France
Brazil,1–2,Belgium
Sweden,0–2,England
Russia,2–2 (a.e.t.),Croatia
France,1–0,Belgium
Croatia,2–1 (a.e.t.),England
Belgium,2–0,England
France,4–2,Croatia
